order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236685,Apple Airpods Headphones,1,150.0,150.0,08/23/19,19,23,8,2019,Fri,238 Highland St,Atlanta,GA,30301,PM
236699,AA Batteries (4-pack),2,3.84,7.68,08/20/19,21,20,8,2019,Tue,763 Hill St,Atlanta,GA,30301,PM
236703,Bose SoundSport Headphones,1,99.99,99.99,08/08/19,6,8,8,2019,Thu,861 Adams St,Atlanta,GA,30301,AM
236714,27in 4K Gaming Monitor,1,389.99,389.99,08/30/19,9,30,8,2019,Fri,194 Dogwood St,Atlanta,GA,30301,AM
236717,Google Phone,1,600.0,600.0,08/11/19,12,11,8,2019,Sun,394 12th St,Atlanta,GA,30301,AM
236719,AAA Batteries (4-pack),1,2.99,2.99,08/05/19,12,5,8,2019,Mon,948 2nd St,Atlanta,GA,30301,AM
236744,AAA Batteries (4-pack),1,2.99,2.99,08/09/19,20,9,8,2019,Fri,11 Wilson St,Atlanta,GA,30301,PM
236781,27in 4K Gaming Monitor,1,389.99,389.99,08/19/19,6,19,8,2019,Mon,707 Wilson St,Atlanta,GA,30301,AM
236791,27in FHD Monitor,1,149.99,149.99,08/06/19,17,6,8,2019,Tue,26 Jefferson St,Atlanta,GA,30301,PM
236796,Wired Headphones,1,11.99,11.99,08/15/19,16,15,8,2019,Thu,623 South St,Atlanta,GA,30301,PM
236827,Lightning Charging Cable,1,14.95,14.95,08/30/19,21,30,8,2019,Fri,9 Center St,Atlanta,GA,30301,PM
236831,Wired Headphones,1,11.99,11.99,08/24/19,2,24,8,2019,Sat,115 Lake St,Atlanta,GA,30301,AM
236857,Wired Headphones,1,11.99,11.99,08/31/19,16,31,8,2019,Sat,363 6th St,Atlanta,GA,30301,PM
236861,Wired Headphones,2,11.99,23.98,08/04/19,18,4,8,2019,Sun,990 Washington St,Atlanta,GA,30301,PM
236877,Apple Airpods Headphones,1,150.0,150.0,08/27/19,21,27,8,2019,Tue,133 Ridge St,Atlanta,GA,30301,PM
236880,34in Ultrawide Monitor,1,379.99,379.99,08/10/19,14,10,8,2019,Sat,631 Highland St,Atlanta,GA,30301,PM
236883,Apple Airpods Headphones,1,150.0,150.0,08/27/19,19,27,8,2019,Tue,589 2nd St,Atlanta,GA,30301,PM
236892,Lightning Charging Cable,1,14.95,14.95,08/08/19,15,8,8,2019,Thu,651 Madison St,Atlanta,GA,30301,PM
236894,USB-C Charging Cable,1,11.95,11.95,08/03/19,21,3,8,2019,Sat,386 River St,Atlanta,GA,30301,PM
236906,Lightning Charging Cable,1,14.95,14.95,08/14/19,19,14,8,2019,Wed,39 Main St,Atlanta,GA,30301,PM
236918,Lightning Charging Cable,1,14.95,14.95,08/04/19,10,4,8,2019,Sun,180 Main St,Atlanta,GA,30301,AM
236919,AA Batteries (4-pack),2,3.84,7.68,08/28/19,20,28,8,2019,Wed,30 Elm St,Atlanta,GA,30301,PM
236998,AA Batteries (4-pack),1,3.84,3.84,08/26/19,20,26,8,2019,Mon,365 Willow St,Atlanta,GA,30301,PM
237002,USB-C Charging Cable,1,11.95,11.95,08/30/19,14,30,8,2019,Fri,799 Jefferson St,Atlanta,GA,30301,PM
237039,Apple Airpods Headphones,1,150.0,150.0,08/31/19,11,31,8,2019,Sat,560 9th St,Atlanta,GA,30301,AM
237080,Apple Airpods Headphones,1,150.0,150.0,08/11/19,12,11,8,2019,Sun,634 Main St,Atlanta,GA,30301,AM
237088,AA Batteries (4-pack),1,3.84,3.84,08/22/19,12,22,8,2019,Thu,232 Elm St,Atlanta,GA,30301,AM
237102,34in Ultrawide Monitor,1,379.99,379.99,08/31/19,17,31,8,2019,Sat,372 Forest St,Atlanta,GA,30301,PM
237116,Wired Headphones,1,11.99,11.99,08/01/19,20,1,8,2019,Thu,165 Willow St,Atlanta,GA,30301,PM
237134,AAA Batteries (4-pack),1,2.99,2.99,08/18/19,18,18,8,2019,Sun,996 Adams St,Atlanta,GA,30301,PM
237136,USB-C Charging Cable,1,11.95,11.95,08/25/19,20,25,8,2019,Sun,236 Cherry St,Atlanta,GA,30301,PM
237143,27in FHD Monitor,1,149.99,149.99,08/21/19,18,21,8,2019,Wed,158 River St,Atlanta,GA,30301,PM
237146,27in 4K Gaming Monitor,1,389.99,389.99,08/30/19,7,30,8,2019,Fri,37 5th St,Atlanta,GA,30301,AM
237149,Bose SoundSport Headphones,1,99.99,99.99,08/23/19,14,23,8,2019,Fri,587 4th St,Atlanta,GA,30301,PM
237177,Flatscreen TV,1,300.0,300.0,08/17/19,20,17,8,2019,Sat,795 Highland St,Atlanta,GA,30301,PM
237188,AAA Batteries (4-pack),3,2.99,8.97,08/20/19,10,20,8,2019,Tue,98 Ridge St,Atlanta,GA,30301,AM
237195,Apple Airpods Headphones,1,150.0,150.0,08/09/19,13,9,8,2019,Fri,345 Dogwood St,Atlanta,GA,30301,PM
237207,Wired Headphones,1,11.99,11.99,08/09/19,22,9,8,2019,Fri,243 Lake St,Atlanta,GA,30301,PM
237215,Google Phone,1,600.0,600.0,08/27/19,10,27,8,2019,Tue,352 12th St,Atlanta,GA,30301,AM
237237,Lightning Charging Cable,2,14.95,29.9,08/13/19,15,13,8,2019,Tue,143 Spruce St,Atlanta,GA,30301,PM
237256,AAA Batteries (4-pack),1,2.99,2.99,08/02/19,15,2,8,2019,Fri,578 Highland St,Atlanta,GA,30301,PM
237261,USB-C Charging Cable,1,11.95,11.95,08/25/19,21,25,8,2019,Sun,102 Elm St,Atlanta,GA,30301,PM
237261,Apple Airpods Headphones,1,150.0,150.0,08/25/19,21,25,8,2019,Sun,102 Elm St,Atlanta,GA,30301,PM
237272,AA Batteries (4-pack),2,3.84,7.68,08/22/19,6,22,8,2019,Thu,52 Washington St,Atlanta,GA,30301,AM
237280,Wired Headphones,1,11.99,11.99,08/13/19,7,13,8,2019,Tue,171 5th St,Atlanta,GA,30301,AM
237334,Lightning Charging Cable,1,14.95,14.95,08/16/19,7,16,8,2019,Fri,465 Dogwood St,Atlanta,GA,30301,AM
237339,AAA Batteries (4-pack),1,2.99,2.99,08/04/19,19,4,8,2019,Sun,539 Willow St,Atlanta,GA,30301,PM
237347,USB-C Charging Cable,1,11.95,11.95,08/27/19,7,27,8,2019,Tue,392 10th St,Atlanta,GA,30301,AM
237370,Apple Airpods Headphones,1,150.0,150.0,08/25/19,17,25,8,2019,Sun,172 13th St,Atlanta,GA,30301,PM
237376,USB-C Charging Cable,1,11.95,11.95,08/31/19,14,31,8,2019,Sat,270 4th St,Atlanta,GA,30301,PM
237379,AA Batteries (4-pack),1,3.84,3.84,08/01/19,9,1,8,2019,Thu,381 Willow St,Atlanta,GA,30301,AM
237394,USB-C Charging Cable,1,11.95,11.95,08/27/19,17,27,8,2019,Tue,975 Cedar St,Atlanta,GA,30301,PM
237404,Apple Airpods Headphones,1,150.0,150.0,08/24/19,13,24,8,2019,Sat,710 Lakeview St,Atlanta,GA,30301,PM
237415,Apple Airpods Headphones,1,150.0,150.0,08/12/19,15,12,8,2019,Mon,815 4th St,Atlanta,GA,30301,PM
237417,Apple Airpods Headphones,1,150.0,150.0,08/05/19,16,5,8,2019,Mon,260 Lake St,Atlanta,GA,30301,PM
237434,AA Batteries (4-pack),1,3.84,3.84,08/31/19,12,31,8,2019,Sat,551 West St,Atlanta,GA,30301,AM
237435,USB-C Charging Cable,1,11.95,11.95,08/21/19,18,21,8,2019,Wed,499 6th St,Atlanta,GA,30301,PM
237487,27in 4K Gaming Monitor,1,389.99,389.99,08/11/19,18,11,8,2019,Sun,340 Adams St,Atlanta,GA,30301,PM
237490,AAA Batteries (4-pack),1,2.99,2.99,08/31/19,0,31,8,2019,Sat,715 4th St,Atlanta,GA,30301,AM
237520,USB-C Charging Cable,1,11.95,11.95,08/15/19,20,15,8,2019,Thu,888 2nd St,Atlanta,GA,30301,PM
237523,AAA Batteries (4-pack),2,2.99,5.98,08/23/19,11,23,8,2019,Fri,163 9th St,Atlanta,GA,30301,AM
237538,USB-C Charging Cable,1,11.95,11.95,08/11/19,19,11,8,2019,Sun,936 Forest St,Atlanta,GA,30301,PM
237545,Bose SoundSport Headphones,1,99.99,99.99,08/13/19,15,13,8,2019,Tue,409 2nd St,Atlanta,GA,30301,PM
237546,AAA Batteries (4-pack),2,2.99,5.98,08/03/19,8,3,8,2019,Sat,355 Washington St,Atlanta,GA,30301,AM
237547,AAA Batteries (4-pack),1,2.99,2.99,08/27/19,16,27,8,2019,Tue,568 Dogwood St,Atlanta,GA,30301,PM
237558,Macbook Pro Laptop,1,1700.0,1700.0,08/31/19,20,31,8,2019,Sat,714 Lakeview St,Atlanta,GA,30301,PM
237561,AAA Batteries (4-pack),1,2.99,2.99,08/03/19,14,3,8,2019,Sat,309 Church St,Atlanta,GA,30301,PM
237568,Bose SoundSport Headphones,1,99.99,99.99,08/04/19,12,4,8,2019,Sun,582 10th St,Atlanta,GA,30301,AM
237584,Google Phone,1,600.0,600.0,08/16/19,11,16,8,2019,Fri,892 Hickory St,Atlanta,GA,30301,AM
