order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236705,AA Batteries (4-pack),3,3.84,11.52,08/11/19,22,11,8,2019,Sun,27 North St,Austin,TX,73301,PM
236710,Macbook Pro Laptop,1,1700.0,1700.0,08/04/19,2,4,8,2019,Sun,654 Chestnut St,Austin,TX,73301,AM
236749,AAA Batteries (4-pack),1,2.99,2.99,08/30/19,20,30,8,2019,Fri,498 Johnson St,Austin,TX,73301,PM
236752,27in 4K Gaming Monitor,1,389.99,389.99,08/27/19,21,27,8,2019,Tue,765 Lakeview St,Austin,TX,73301,PM
236773,Apple Airpods Headphones,1,150.0,150.0,08/20/19,20,20,8,2019,Tue,742 Forest St,Austin,TX,73301,PM
236774,AAA Batteries (4-pack),2,2.99,5.98,08/13/19,15,13,8,2019,Tue,634 Pine St,Austin,TX,73301,PM
236795,AA Batteries (4-pack),4,3.84,15.36,08/13/19,18,13,8,2019,Tue,235 South St,Austin,TX,73301,PM
236865,USB-C Charging Cable,1,11.95,11.95,08/09/19,8,9,8,2019,Fri,874 Main St,Austin,TX,73301,AM
236897,AA Batteries (4-pack),1,3.84,3.84,08/31/19,15,31,8,2019,Sat,663 Dogwood St,Austin,TX,73301,PM
236911,AA Batteries (4-pack),1,3.84,3.84,08/27/19,16,27,8,2019,Tue,398 Cherry St,Austin,TX,73301,PM
236916,Wired Headphones,1,11.99,11.99,08/31/19,7,31,8,2019,Sat,474 Cedar St,Austin,TX,73301,AM
236964,Flatscreen TV,1,300.0,300.0,08/05/19,18,5,8,2019,Mon,960 Spruce St,Austin,TX,73301,PM
236973,Vareebadd Phone,1,400.0,400.0,08/08/19,12,8,8,2019,Thu,845 West St,Austin,TX,73301,AM
236978,AA Batteries (4-pack),1,3.84,3.84,08/17/19,15,17,8,2019,Sat,910 Forest St,Austin,TX,73301,PM
237012,AAA Batteries (4-pack),1,2.99,2.99,08/20/19,13,20,8,2019,Tue,195 Madison St,Austin,TX,73301,PM
237064,27in FHD Monitor,1,149.99,149.99,08/06/19,16,6,8,2019,Tue,521 Willow St,Austin,TX,73301,PM
237073,Lightning Charging Cable,1,14.95,14.95,08/16/19,17,16,8,2019,Fri,416 Park St,Austin,TX,73301,PM
237075,AA Batteries (4-pack),1,3.84,3.84,08/15/19,12,15,8,2019,Thu,596 Meadow St,Austin,TX,73301,AM
237105,27in FHD Monitor,1,149.99,149.99,08/10/19,19,10,8,2019,Sat,670 Church St,Austin,TX,73301,PM
237123,Apple Airpods Headphones,1,150.0,150.0,08/11/19,12,11,8,2019,Sun,482 Park St,Austin,TX,73301,AM
237132,27in 4K Gaming Monitor,1,389.99,389.99,08/07/19,11,7,8,2019,Wed,832 Jefferson St,Austin,TX,73301,AM
237141,20in Monitor,1,109.99,109.99,08/16/19,21,16,8,2019,Fri,536 Hickory St,Austin,TX,73301,PM
237223,AAA Batteries (4-pack),3,2.99,8.97,08/22/19,15,22,8,2019,Thu,953 Elm St,Austin,TX,73301,PM
237241,iPhone,1,700.0,700.0,08/20/19,16,20,8,2019,Tue,402 1st St,Austin,TX,73301,PM
237243,Macbook Pro Laptop,1,1700.0,1700.0,08/06/19,19,6,8,2019,Tue,684 Cherry St,Austin,TX,73301,PM
237244,Lightning Charging Cable,1,14.95,14.95,08/15/19,10,15,8,2019,Thu,304 Jefferson St,Austin,TX,73301,AM
237299,USB-C Charging Cable,1,11.95,11.95,08/01/19,12,1,8,2019,Thu,961 River St,Austin,TX,73301,AM
237299,Wired Headphones,1,11.99,11.99,08/01/19,12,1,8,2019,Thu,961 River St,Austin,TX,73301,AM
237323,Lightning Charging Cable,1,14.95,14.95,08/19/19,0,19,8,2019,Mon,664 Park St,Austin,TX,73301,AM
237346,USB-C Charging Cable,2,11.95,23.9,08/12/19,20,12,8,2019,Mon,924 14th St,Austin,TX,73301,PM
237390,34in Ultrawide Monitor,1,379.99,379.99,08/04/19,7,4,8,2019,Sun,294 Wilson St,Austin,TX,73301,AM
237392,27in FHD Monitor,1,149.99,149.99,08/04/19,20,4,8,2019,Sun,866 Jackson St,Austin,TX,73301,PM
237494,Flatscreen TV,1,300.0,300.0,08/17/19,14,17,8,2019,Sat,28 South St,Austin,TX,73301,PM
237507,Apple Airpods Headphones,1,150.0,150.0,08/29/19,20,29,8,2019,Thu,657 10th St,Austin,TX,73301,PM
237508,34in Ultrawide Monitor,1,379.99,379.99,08/26/19,20,26,8,2019,Mon,542 9th St,Austin,TX,73301,PM
237518,AA Batteries (4-pack),1,3.84,3.84,08/12/19,20,12,8,2019,Mon,988 Johnson St,Austin,TX,73301,PM
237526,iPhone,1,700.0,700.0,08/01/19,17,1,8,2019,Thu,145 Meadow St,Austin,TX,73301,PM
237535,27in FHD Monitor,1,149.99,149.99,08/26/19,2,26,8,2019,Mon,393 8th St,Austin,TX,73301,AM
237563,Lightning Charging Cable,1,14.95,14.95,08/21/19,11,21,8,2019,Wed,240 Adams St,Austin,TX,73301,AM
