order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236673,AA Batteries (4-pack),2,3.84,7.68,08/29/19,20,29,8,2019,Thu,631 2nd St,Los Angeles,CA,90001,PM
236676,34in Ultrawide Monitor,1,379.99,379.99,08/04/19,19,4,8,2019,Sun,470 Cherry St,Los Angeles,CA,90001,PM
236679,Macbook Pro Laptop,1,1700.0,1700.0,08/07/19,15,7,8,2019,Wed,239 Spruce St,Los Angeles,CA,90001,PM
236688,34in Ultrawide Monitor,1,379.99,379.99,08/08/19,16,8,8,2019,Thu,821 7th St,Los Angeles,CA,90001,PM
236700,Wired Headphones,1,11.99,11.99,08/09/19,8,9,8,2019,Fri,534 North St,Los Angeles,CA,90001,AM
236707,AA Batteries (4-pack),2,3.84,7.68,08/14/19,14,14,8,2019,Wed,306 West St,Los Angeles,CA,90001,PM
236736,Wired Headphones,1,11.99,11.99,08/03/19,17,3,8,2019,Sat,754 Chestnut St,Los Angeles,CA,90001,PM
236743,Lightning Charging Cable,1,14.95,14.95,08/27/19,12,27,8,2019,Tue,826 Forest St,Los Angeles,CA,90001,AM
236746,AAA Batteries (4-pack),2,2.99,5.98,08/13/19,9,13,8,2019,Tue,585 Spruce St,Los Angeles,CA,90001,AM
236758,Flatscreen TV,1,300.0,300.0,08/18/19,13,18,8,2019,Sun,155 Hickory St,Los Angeles,CA,90001,PM
236771,Google Phone,1,600.0,600.0,08/07/19,18,7,8,2019,Wed,942 Elm St,Los Angeles,CA,90001,PM
236788,iPhone,1,700.0,700.0,08/21/19,12,21,8,2019,Wed,598 13th St,Los Angeles,CA,90001,AM
236793,USB-C Charging Cable,1,11.95,11.95,08/12/19,12,12,8,2019,Mon,961 South St,Los Angeles,CA,90001,AM
236797,Google Phone,1,600.0,600.0,08/16/19,18,16,8,2019,Fri,835 12th St,Los Angeles,CA,90001,PM
236798,Lightning Charging Cable,2,14.95,29.9,08/19/19,8,19,8,2019,Mon,614 7th St,Los Angeles,CA,90001,AM
236802,27in 4K Gaming Monitor,1,389.99,389.99,08/01/19,18,1,8,2019,Thu,668 9th St,Los Angeles,CA,90001,PM
236804,ThinkPad Laptop,1,999.99,999.99,08/06/19,23,6,8,2019,Tue,933 Center St,Los Angeles,CA,90001,PM
236812,Wired Headphones,1,11.99,11.99,08/25/19,19,25,8,2019,Sun,970 2nd St,Los Angeles,CA,90001,PM
236813,Lightning Charging Cable,1,14.95,14.95,08/04/19,15,4,8,2019,Sun,170 West St,Los Angeles,CA,90001,PM
236823,AAA Batteries (4-pack),1,2.99,2.99,08/22/19,6,22,8,2019,Thu,861 Hickory St,Los Angeles,CA,90001,AM
236825,USB-C Charging Cable,1,11.95,11.95,08/01/19,12,1,8,2019,Thu,988 West St,Los Angeles,CA,90001,AM
236829,Vareebadd Phone,1,400.0,400.0,08/16/19,8,16,8,2019,Fri,27 2nd St,Los Angeles,CA,90001,AM
236829,USB-C Charging Cable,1,11.95,11.95,08/16/19,8,16,8,2019,Fri,27 2nd St,Los Angeles,CA,90001,AM
236834,Bose SoundSport Headphones,1,99.99,99.99,08/10/19,0,10,8,2019,Sat,4 Willow St,Los Angeles,CA,90001,AM
236838,AAA Batteries (4-pack),1,2.99,2.99,08/28/19,20,28,8,2019,Wed,899 South St,Los Angeles,CA,90001,PM
236839,AA Batteries (4-pack),1,3.84,3.84,08/06/19,9,6,8,2019,Tue,18 Sunset St,Los Angeles,CA,90001,AM
236841,20in Monitor,1,109.99,109.99,08/30/19,13,30,8,2019,Fri,307 Jefferson St,Los Angeles,CA,90001,PM
236844,27in FHD Monitor,1,149.99,149.99,08/10/19,17,10,8,2019,Sat,297 6th St,Los Angeles,CA,90001,PM
236846,AA Batteries (4-pack),1,3.84,3.84,08/05/19,10,5,8,2019,Mon,440 6th St,Los Angeles,CA,90001,AM
236867,USB-C Charging Cable,1,11.95,11.95,08/08/19,15,8,8,2019,Thu,948 Highland St,Los Angeles,CA,90001,PM
236874,34in Ultrawide Monitor,1,379.99,379.99,08/10/19,1,10,8,2019,Sat,800 4th St,Los Angeles,CA,90001,AM
236886,Bose SoundSport Headphones,1,99.99,99.99,08/21/19,22,21,8,2019,Wed,310 Hill St,Los Angeles,CA,90001,PM
236887,27in 4K Gaming Monitor,1,389.99,389.99,08/31/19,10,31,8,2019,Sat,974 5th St,Los Angeles,CA,90001,AM
236895,USB-C Charging Cable,1,11.95,11.95,08/01/19,20,1,8,2019,Thu,243 Cedar St,Los Angeles,CA,90001,PM
236905,Lightning Charging Cable,1,14.95,14.95,08/21/19,15,21,8,2019,Wed,705 West St,Los Angeles,CA,90001,PM
236908,AAA Batteries (4-pack),2,2.99,5.98,08/16/19,14,16,8,2019,Fri,851 Madison St,Los Angeles,CA,90001,PM
236923,AAA Batteries (4-pack),2,2.99,5.98,08/27/19,15,27,8,2019,Tue,306 6th St,Los Angeles,CA,90001,PM
236924,20in Monitor,1,109.99,109.99,08/29/19,16,29,8,2019,Thu,752 Willow St,Los Angeles,CA,90001,PM
236942,Lightning Charging Cable,1,14.95,14.95,08/16/19,12,16,8,2019,Fri,902 4th St,Los Angeles,CA,90001,AM
236947,20in Monitor,1,109.99,109.99,08/19/19,23,19,8,2019,Mon,845 Lincoln St,Los Angeles,CA,90001,PM
236951,27in FHD Monitor,1,149.99,149.99,08/12/19,22,12,8,2019,Mon,714 8th St,Los Angeles,CA,90001,PM
236955,34in Ultrawide Monitor,1,379.99,379.99,08/03/19,13,3,8,2019,Sat,833 River St,Los Angeles,CA,90001,PM
236956,USB-C Charging Cable,1,11.95,11.95,08/26/19,15,26,8,2019,Mon,260 14th St,Los Angeles,CA,90001,PM
236958,Lightning Charging Cable,1,14.95,14.95,08/23/19,7,23,8,2019,Fri,758 Elm St,Los Angeles,CA,90001,AM
236960,Lightning Charging Cable,1,14.95,14.95,08/12/19,12,12,8,2019,Mon,937 11th St,Los Angeles,CA,90001,AM
236963,Bose SoundSport Headphones,1,99.99,99.99,08/31/19,10,31,8,2019,Sat,166 Dogwood St,Los Angeles,CA,90001,AM
236965,AA Batteries (4-pack),1,3.84,3.84,08/31/19,9,31,8,2019,Sat,278 Cherry St,Los Angeles,CA,90001,AM
236967,AA Batteries (4-pack),2,3.84,7.68,08/05/19,13,5,8,2019,Mon,133 Highland St,Los Angeles,CA,90001,PM
236968,Apple Airpods Headphones,1,150.0,150.0,08/10/19,10,10,8,2019,Sat,765 Center St,Los Angeles,CA,90001,AM
236972,AAA Batteries (4-pack),2,2.99,5.98,08/05/19,21,5,8,2019,Mon,14 Washington St,Los Angeles,CA,90001,PM
236975,iPhone,1,700.0,700.0,08/02/19,10,2,8,2019,Fri,799 Walnut St,Los Angeles,CA,90001,AM
236976,AAA Batteries (4-pack),2,2.99,5.98,08/15/19,13,15,8,2019,Thu,167 Lincoln St,Los Angeles,CA,90001,PM
236983,ThinkPad Laptop,1,999.99,999.99,08/24/19,16,24,8,2019,Sat,549 Ridge St,Los Angeles,CA,90001,PM
236990,USB-C Charging Cable,1,11.95,11.95,08/30/19,7,30,8,2019,Fri,582 South St,Los Angeles,CA,90001,AM
237003,AAA Batteries (4-pack),1,2.99,2.99,08/02/19,11,2,8,2019,Fri,672 Main St,Los Angeles,CA,90001,AM
237004,USB-C Charging Cable,1,11.95,11.95,08/01/19,22,1,8,2019,Thu,99 2nd St,Los Angeles,CA,90001,PM
237009,20in Monitor,1,109.99,109.99,08/07/19,15,7,8,2019,Wed,73 4th St,Los Angeles,CA,90001,PM
237011,Apple Airpods Headphones,1,150.0,150.0,08/15/19,7,15,8,2019,Thu,434 West St,Los Angeles,CA,90001,AM
237013,iPhone,1,700.0,700.0,08/06/19,7,6,8,2019,Tue,720 12th St,Los Angeles,CA,90001,AM
237013,Lightning Charging Cable,1,14.95,14.95,08/06/19,7,6,8,2019,Tue,720 12th St,Los Angeles,CA,90001,AM
237017,Flatscreen TV,1,300.0,300.0,08/10/19,1,10,8,2019,Sat,209 Willow St,Los Angeles,CA,90001,AM
237020,27in FHD Monitor,1,149.99,149.99,08/17/19,12,17,8,2019,Sat,783 Jefferson St,Los Angeles,CA,90001,AM
237029,Bose SoundSport Headphones,1,99.99,99.99,08/13/19,20,13,8,2019,Tue,558 Highland St,Los Angeles,CA,90001,PM
237030,27in 4K Gaming Monitor,1,389.99,389.99,08/11/19,17,11,8,2019,Sun,751 1st St,Los Angeles,CA,90001,PM
237035,34in Ultrawide Monitor,1,379.99,379.99,08/17/19,9,17,8,2019,Sat,875 North St,Los Angeles,CA,90001,AM
237037,20in Monitor,1,109.99,109.99,08/08/19,16,8,8,2019,Thu,265 Maple St,Los Angeles,CA,90001,PM
237042,USB-C Charging Cable,1,11.95,11.95,08/26/19,13,26,8,2019,Mon,995 Willow St,Los Angeles,CA,90001,PM
237046,Lightning Charging Cable,1,14.95,14.95,08/14/19,13,14,8,2019,Wed,858 11th St,Los Angeles,CA,90001,PM
237054,iPhone,1,700.0,700.0,08/19/19,8,19,8,2019,Mon,243 Jefferson St,Los Angeles,CA,90001,AM
237055,Apple Airpods Headphones,1,150.0,150.0,08/25/19,0,25,8,2019,Sun,590 14th St,Los Angeles,CA,90001,AM
237065,27in 4K Gaming Monitor,1,389.99,389.99,08/23/19,13,23,8,2019,Fri,312 Chestnut St,Los Angeles,CA,90001,PM
237079,Flatscreen TV,1,300.0,300.0,08/13/19,11,13,8,2019,Tue,235 Cherry St,Los Angeles,CA,90001,AM
237089,AA Batteries (4-pack),1,3.84,3.84,08/21/19,20,21,8,2019,Wed,202 Johnson St,Los Angeles,CA,90001,PM
237101,AAA Batteries (4-pack),1,2.99,2.99,08/10/19,0,10,8,2019,Sat,630 Chestnut St,Los Angeles,CA,90001,AM
237104,Apple Airpods Headphones,1,150.0,150.0,08/16/19,19,16,8,2019,Fri,340 Willow St,Los Angeles,CA,90001,PM
237106,AA Batteries (4-pack),1,3.84,3.84,08/16/19,7,16,8,2019,Fri,814 Forest St,Los Angeles,CA,90001,AM
237109,Lightning Charging Cable,1,14.95,14.95,08/10/19,18,10,8,2019,Sat,761 Hickory St,Los Angeles,CA,90001,PM
237113,Apple Airpods Headphones,1,150.0,150.0,08/15/19,11,15,8,2019,Thu,656 Willow St,Los Angeles,CA,90001,AM
237121,LG Washing Machine,1,600.0,600.0,08/16/19,15,16,8,2019,Fri,573 Adams St,Los Angeles,CA,90001,PM
237125,Apple Airpods Headphones,1,150.0,150.0,08/02/19,22,2,8,2019,Fri,501 Adams St,Los Angeles,CA,90001,PM
237127,Bose SoundSport Headphones,1,99.99,99.99,08/13/19,10,13,8,2019,Tue,937 Jackson St,Los Angeles,CA,90001,AM
237142,Bose SoundSport Headphones,1,99.99,99.99,08/21/19,20,21,8,2019,Wed,414 Cedar St,Los Angeles,CA,90001,PM
237150,Apple Airpods Headphones,1,150.0,150.0,08/26/19,8,26,8,2019,Mon,169 North St,Los Angeles,CA,90001,AM
237152,Wired Headphones,1,11.99,11.99,08/13/19,7,13,8,2019,Tue,854 Cedar St,Los Angeles,CA,90001,AM
237158,Lightning Charging Cable,1,14.95,14.95,08/08/19,15,8,8,2019,Thu,865 Walnut St,Los Angeles,CA,90001,PM
237163,27in FHD Monitor,1,149.99,149.99,08/23/19,7,23,8,2019,Fri,13 Washington St,Los Angeles,CA,90001,AM
237174,Wired Headphones,1,11.99,11.99,08/28/19,15,28,8,2019,Wed,300 8th St,Los Angeles,CA,90001,PM
237182,Google Phone,1,600.0,600.0,08/30/19,21,30,8,2019,Fri,634 Spruce St,Los Angeles,CA,90001,PM
237186,USB-C Charging Cable,1,11.95,11.95,08/25/19,17,25,8,2019,Sun,548 Johnson St,Los Angeles,CA,90001,PM
237190,USB-C Charging Cable,1,11.95,11.95,08/05/19,9,5,8,2019,Mon,118 Hickory St,Los Angeles,CA,90001,AM
237199,Wired Headphones,1,11.99,11.99,08/01/19,14,1,8,2019,Thu,151 Lake St,Los Angeles,CA,90001,PM
237205,34in Ultrawide Monitor,1,379.99,379.99,08/22/19,13,22,8,2019,Thu,716 Hill St,Los Angeles,CA,90001,PM
237209,27in FHD Monitor,1,149.99,149.99,08/24/19,0,24,8,2019,Sat,167 Walnut St,Los Angeles,CA,90001,AM
237210,AAA Batteries (4-pack),1,2.99,2.99,08/21/19,17,21,8,2019,Wed,875 North St,Los Angeles,CA,90001,PM
237211,AA Batteries (4-pack),1,3.84,3.84,08/30/19,0,30,8,2019,Fri,251 Park St,Los Angeles,CA,90001,AM
237216,Wired Headphones,1,11.99,11.99,08/11/19,15,11,8,2019,Sun,441 5th St,Los Angeles,CA,90001,PM
237222,AA Batteries (4-pack),1,3.84,3.84,08/05/19,16,5,8,2019,Mon,777 Highland St,Los Angeles,CA,90001,PM
237227,ThinkPad Laptop,1,999.99,999.99,08/15/19,8,15,8,2019,Thu,179 Cherry St,Los Angeles,CA,90001,AM
237236,USB-C Charging Cable,1,11.95,11.95,08/29/19,8,29,8,2019,Thu,127 Cedar St,Los Angeles,CA,90001,AM
237242,27in FHD Monitor,1,149.99,149.99,08/30/19,15,30,8,2019,Fri,956 Washington St,Los Angeles,CA,90001,PM
237257,Lightning Charging Cable,1,14.95,14.95,08/11/19,12,11,8,2019,Sun,278 9th St,Los Angeles,CA,90001,AM
237260,Bose SoundSport Headphones,1,99.99,99.99,08/30/19,19,30,8,2019,Fri,389 1st St,Los Angeles,CA,90001,PM
237262,AA Batteries (4-pack),1,3.84,3.84,08/17/19,7,17,8,2019,Sat,87 6th St,Los Angeles,CA,90001,AM
237265,Apple Airpods Headphones,1,150.0,150.0,08/03/19,14,3,8,2019,Sat,666 Madison St,Los Angeles,CA,90001,PM
237269,LG Washing Machine,1,600.0,600.0,08/04/19,13,4,8,2019,Sun,72 Lincoln St,Los Angeles,CA,90001,PM
237292,Flatscreen TV,1,300.0,300.0,08/09/19,20,9,8,2019,Fri,349 Maple St,Los Angeles,CA,90001,PM
237293,USB-C Charging Cable,1,11.95,11.95,08/19/19,19,19,8,2019,Mon,61 Pine St,Los Angeles,CA,90001,PM
237330,AAA Batteries (4-pack),1,2.99,2.99,08/06/19,13,6,8,2019,Tue,85 13th St,Los Angeles,CA,90001,PM
237341,USB-C Charging Cable,1,11.95,11.95,08/03/19,21,3,8,2019,Sat,770 Park St,Los Angeles,CA,90001,PM
237349,USB-C Charging Cable,1,11.95,11.95,08/30/19,15,30,8,2019,Fri,307 Chestnut St,Los Angeles,CA,90001,PM
237354,20in Monitor,1,109.99,109.99,08/31/19,12,31,8,2019,Sat,747 South St,Los Angeles,CA,90001,AM
237360,iPhone,1,700.0,700.0,08/26/19,20,26,8,2019,Mon,891 12th St,Los Angeles,CA,90001,PM
237363,USB-C Charging Cable,3,11.95,35.85,08/26/19,13,26,8,2019,Mon,717 Park St,Los Angeles,CA,90001,PM
237368,Apple Airpods Headphones,1,150.0,150.0,08/09/19,17,9,8,2019,Fri,147 Hickory St,Los Angeles,CA,90001,PM
237391,AAA Batteries (4-pack),1,2.99,2.99,08/11/19,12,11,8,2019,Sun,854 10th St,Los Angeles,CA,90001,AM
237397,AAA Batteries (4-pack),1,2.99,2.99,08/10/19,9,10,8,2019,Sat,185 Lincoln St,Los Angeles,CA,90001,AM
237402,USB-C Charging Cable,1,11.95,11.95,08/06/19,20,6,8,2019,Tue,409 12th St,Los Angeles,CA,90001,PM
237410,AAA Batteries (4-pack),1,2.99,2.99,08/26/19,16,26,8,2019,Mon,737 North St,Los Angeles,CA,90001,PM
237413,AAA Batteries (4-pack),2,2.99,5.98,08/08/19,8,8,8,2019,Thu,626 13th St,Los Angeles,CA,90001,AM
237419,Lightning Charging Cable,1,14.95,14.95,08/27/19,17,27,8,2019,Tue,151 River St,Los Angeles,CA,90001,PM
237424,34in Ultrawide Monitor,1,379.99,379.99,08/20/19,20,20,8,2019,Tue,369 4th St,Los Angeles,CA,90001,PM
237426,AA Batteries (4-pack),1,3.84,3.84,08/31/19,9,31,8,2019,Sat,352 12th St,Los Angeles,CA,90001,AM
237428,34in Ultrawide Monitor,1,379.99,379.99,08/22/19,12,22,8,2019,Thu,115 6th St,Los Angeles,CA,90001,AM
237439,Bose SoundSport Headphones,1,99.99,99.99,08/07/19,14,7,8,2019,Wed,675 Lake St,Los Angeles,CA,90001,PM
237444,Macbook Pro Laptop,1,1700.0,1700.0,08/19/19,13,19,8,2019,Mon,820 Jefferson St,Los Angeles,CA,90001,PM
237451,Wired Headphones,1,11.99,11.99,08/29/19,11,29,8,2019,Thu,987 Forest St,Los Angeles,CA,90001,AM
237461,Apple Airpods Headphones,1,150.0,150.0,08/25/19,23,25,8,2019,Sun,167 Wilson St,Los Angeles,CA,90001,PM
237465,34in Ultrawide Monitor,1,379.99,379.99,08/15/19,4,15,8,2019,Thu,266 South St,Los Angeles,CA,90001,AM
237466,AA Batteries (4-pack),1,3.84,3.84,08/25/19,22,25,8,2019,Sun,57 Washington St,Los Angeles,CA,90001,PM
237469,Vareebadd Phone,1,400.0,400.0,08/13/19,16,13,8,2019,Tue,752 Jackson St,Los Angeles,CA,90001,PM
237469,34in Ultrawide Monitor,1,379.99,379.99,08/13/19,16,13,8,2019,Tue,752 Jackson St,Los Angeles,CA,90001,PM
237470,Bose SoundSport Headphones,1,99.99,99.99,08/25/19,20,25,8,2019,Sun,549 8th St,Los Angeles,CA,90001,PM
237472,Apple Airpods Headphones,1,150.0,150.0,08/05/19,9,5,8,2019,Mon,38 10th St,Los Angeles,CA,90001,AM
237475,Lightning Charging Cable,1,14.95,14.95,08/22/19,15,22,8,2019,Thu,817 Chestnut St,Los Angeles,CA,90001,PM
237476,USB-C Charging Cable,1,11.95,11.95,08/19/19,15,19,8,2019,Mon,41 North St,Los Angeles,CA,90001,PM
237492,27in 4K Gaming Monitor,1,389.99,389.99,08/04/19,10,4,8,2019,Sun,536 1st St,Los Angeles,CA,90001,AM
237497,Apple Airpods Headphones,1,150.0,150.0,08/28/19,21,28,8,2019,Wed,421 Church St,Los Angeles,CA,90001,PM
237500,iPhone,1,700.0,700.0,08/31/19,7,31,8,2019,Sat,965 Main St,Los Angeles,CA,90001,AM
237505,AA Batteries (4-pack),2,3.84,7.68,08/16/19,16,16,8,2019,Fri,676 Jackson St,Los Angeles,CA,90001,PM
237512,Flatscreen TV,1,300.0,300.0,08/03/19,20,3,8,2019,Sat,694 Madison St,Los Angeles,CA,90001,PM
237519,Wired Headphones,1,11.99,11.99,08/22/19,21,22,8,2019,Thu,527 13th St,Los Angeles,CA,90001,PM
237527,LG Dryer,1,600.0,600.0,08/12/19,8,12,8,2019,Mon,355 Chestnut St,Los Angeles,CA,90001,AM
237541,27in 4K Gaming Monitor,1,389.99,389.99,08/19/19,18,19,8,2019,Mon,933 Center St,Los Angeles,CA,90001,PM
237573,Bose SoundSport Headphones,1,99.99,99.99,08/05/19,20,5,8,2019,Mon,278 8th St,Los Angeles,CA,90001,PM
237581,Lightning Charging Cable,1,14.95,14.95,08/15/19,16,15,8,2019,Thu,787 Johnson St,Los Angeles,CA,90001,PM
237601,AA Batteries (4-pack),1,3.84,3.84,08/06/19,18,6,8,2019,Tue,567 River St,Los Angeles,CA,90001,PM
