order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236670,Wired Headphones,2,11.99,23.98,08/31/19,22,31,8,2019,Sat,359 Spruce St,Seattle,WA,98101,PM
236721,Apple Airpods Headphones,1,150.0,150.0,08/02/19,12,2,8,2019,Fri,198 Highland St,Seattle,WA,98101,AM
236754,Lightning Charging Cable,1,14.95,14.95,08/13/19,10,13,8,2019,Tue,872 Ridge St,Seattle,WA,98101,AM
236757,USB-C Charging Cable,1,11.95,11.95,08/07/19,19,7,8,2019,Wed,969 Spruce St,Seattle,WA,98101,PM
236763,Apple Airpods Headphones,1,150.0,150.0,08/06/19,10,6,8,2019,Tue,288 Lake St,Seattle,WA,98101,AM
236766,Wired Headphones,1,11.99,11.99,08/19/19,17,19,8,2019,Mon,287 Highland St,Seattle,WA,98101,PM
236780,Lightning Charging Cable,1,14.95,14.95,08/18/19,18,18,8,2019,Sun,890 2nd St,Seattle,WA,98101,PM
236807,USB-C Charging Cable,1,11.95,11.95,08/27/19,20,27,8,2019,Tue,962 Highland St,Seattle,WA,98101,PM
236809,Google Phone,1,600.0,600.0,08/01/19,20,1,8,2019,Thu,444 South St,Seattle,WA,98101,PM
236821,AA Batteries (4-pack),2,3.84,7.68,08/07/19,11,7,8,2019,Wed,590 11th St,Seattle,WA,98101,AM
236826,20in Monitor,1,109.99,109.99,08/06/19,12,6,8,2019,Tue,636 9th St,Seattle,WA,98101,AM
236832,Apple Airpods Headphones,1,150.0,150.0,08/09/19,21,9,8,2019,Fri,479 Adams St,Seattle,WA,98101,PM
236845,27in 4K Gaming Monitor,1,389.99,389.99,08/18/19,18,18,8,2019,Sun,327 Jackson St,Seattle,WA,98101,PM
236855,Bose SoundSport Headphones,1,99.99,99.99,08/28/19,12,28,8,2019,Wed,360 River St,Seattle,WA,98101,AM
236856,AA Batteries (4-pack),3,3.84,11.52,08/09/19,13,9,8,2019,Fri,661 Center St,Seattle,WA,98101,PM
236890,Lightning Charging Cable,1,14.95,14.95,08/11/19,0,11,8,2019,Sun,475 Lincoln St,Seattle,WA,98101,AM
236901,USB-C Charging Cable,1,11.95,11.95,08/01/19,18,1,8,2019,Thu,635 9th St,Seattle,WA,98101,PM
236932,iPhone,1,700.0,700.0,08/18/19,18,18,8,2019,Sun,428 Hickory St,Seattle,WA,98101,PM
236938,AA Batteries (4-pack),1,3.84,3.84,08/12/19,17,12,8,2019,Mon,731 Cherry St,Seattle,WA,98101,PM
236943,AAA Batteries (4-pack),2,2.99,5.98,08/04/19,16,4,8,2019,Sun,387 Lincoln St,Seattle,WA,98101,PM
236962,20in Monitor,1,109.99,109.99,08/08/19,19,8,8,2019,Thu,296 14th St,Seattle,WA,98101,PM
236969,Lightning Charging Cable,1,14.95,14.95,08/15/19,18,15,8,2019,Thu,852 11th St,Seattle,WA,98101,PM
236970,AAA Batteries (4-pack),1,2.99,2.99,08/15/19,20,15,8,2019,Thu,749 Walnut St,Seattle,WA,98101,PM
236971,27in FHD Monitor,1,149.99,149.99,08/07/19,17,7,8,2019,Wed,311 Elm St,Seattle,WA,98101,PM
237000,AAA Batteries (4-pack),1,2.99,2.99,08/03/19,16,3,8,2019,Sat,535 Lakeview St,Seattle,WA,98101,PM
237018,LG Dryer,1,600.0,600.0,08/02/19,7,2,8,2019,Fri,363 Adams St,Seattle,WA,98101,AM
237040,AAA Batteries (4-pack),3,2.99,8.97,08/26/19,20,26,8,2019,Mon,843 1st St,Seattle,WA,98101,PM
237052,AA Batteries (4-pack),1,3.84,3.84,08/11/19,19,11,8,2019,Sun,864 Dogwood St,Seattle,WA,98101,PM
237058,AAA Batteries (4-pack),1,2.99,2.99,08/01/19,19,1,8,2019,Thu,119 Elm St,Seattle,WA,98101,PM
237069,Vareebadd Phone,1,400.0,400.0,08/08/19,14,8,8,2019,Thu,147 Highland St,Seattle,WA,98101,PM
237070,USB-C Charging Cable,1,11.95,11.95,08/08/19,18,8,8,2019,Thu,242 Sunset St,Seattle,WA,98101,PM
237076,Flatscreen TV,1,300.0,300.0,08/02/19,9,2,8,2019,Fri,206 2nd St,Seattle,WA,98101,AM
237081,Wired Headphones,1,11.99,11.99,08/08/19,15,8,8,2019,Thu,692 Main St,Seattle,WA,98101,PM
237099,Apple Airpods Headphones,1,150.0,150.0,08/27/19,1,27,8,2019,Tue,82 Center St,Seattle,WA,98101,AM
237103,Wired Headphones,1,11.99,11.99,08/11/19,19,11,8,2019,Sun,541 13th St,Seattle,WA,98101,PM
237128,USB-C Charging Cable,1,11.95,11.95,08/09/19,22,9,8,2019,Fri,634 Adams St,Seattle,WA,98101,PM
237140,Wired Headphones,1,11.99,11.99,08/29/19,22,29,8,2019,Thu,215 Jackson St,Seattle,WA,98101,PM
237154,Bose SoundSport Headphones,1,99.99,99.99,08/07/19,5,7,8,2019,Wed,612 Madison St,Seattle,WA,98101,AM
237168,iPhone,1,700.0,700.0,08/22/19,13,22,8,2019,Thu,637 Elm St,Seattle,WA,98101,PM
237169,Lightning Charging Cable,1,14.95,14.95,08/01/19,9,1,8,2019,Thu,127 Ridge St,Seattle,WA,98101,AM
