order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236681,AA Batteries (4-pack),1,3.84,3.84,08/26/19,20,26,8,2019,Mon,295 1st St,Boston,MA,2215,PM
236691,USB-C Charging Cable,1,11.95,11.95,08/23/19,7,23,8,2019,Fri,916 Meadow St,Boston,MA,2215,AM
236712,AA Batteries (4-pack),2,3.84,7.68,08/30/19,7,30,8,2019,Fri,548 Jefferson St,Boston,MA,2215,AM
236726,AA Batteries (4-pack),1,3.84,3.84,08/29/19,9,29,8,2019,Thu,434 Church St,Boston,MA,2215,AM
236735,Apple Airpods Headphones,1,150.0,150.0,08/18/19,22,18,8,2019,Sun,599 North St,Boston,MA,2215,PM
236739,USB-C Charging Cable,1,11.95,11.95,08/31/19,12,31,8,2019,Sat,949 Church St,Boston,MA,2215,AM
236741,USB-C Charging Cable,1,11.95,11.95,08/08/19,12,8,8,2019,Thu,26 Washington St,Boston,MA,2215,AM
236750,Flatscreen TV,1,300.0,300.0,08/25/19,8,25,8,2019,Sun,806 Ridge St,Boston,MA,2215,AM
236756,AA Batteries (4-pack),1,3.84,3.84,08/31/19,18,31,8,2019,Sat,444 West St,Boston,MA,2215,PM
236760,AA Batteries (4-pack),1,3.84,3.84,08/29/19,17,29,8,2019,Thu,35 Spruce St,Boston,MA,2215,PM
236764,Bose SoundSport Headphones,1,99.99,99.99,08/22/19,15,22,8,2019,Thu,663 Elm St,Boston,MA,2215,PM
236782,USB-C Charging Cable,1,11.95,11.95,08/15/19,16,15,8,2019,Thu,366 Washington St,Boston,MA,2215,PM
236783,AA Batteries (4-pack),2,3.84,7.68,08/04/19,10,4,8,2019,Sun,350 Dogwood St,Boston,MA,2215,AM
236784,AAA Batteries (4-pack),1,2.99,2.99,08/29/19,13,29,8,2019,Thu,501 Maple St,Boston,MA,2215,PM
236787,AAA Batteries (4-pack),1,2.99,2.99,08/27/19,14,27,8,2019,Tue,195 Wilson St,Boston,MA,2215,PM
236800,Lightning Charging Cable,1,14.95,14.95,08/21/19,15,21,8,2019,Wed,389 Highland St,Boston,MA,2215,PM
236806,USB-C Charging Cable,1,11.95,11.95,08/06/19,2,6,8,2019,Tue,828 Madison St,Boston,MA,2215,AM
236817,Wired Headphones,1,11.99,11.99,08/04/19,17,4,8,2019,Sun,21 Lake St,Boston,MA,2215,PM
236859,34in Ultrawide Monitor,1,379.99,379.99,08/22/19,10,22,8,2019,Thu,833 Jefferson St,Boston,MA,2215,AM
236868,Wired Headphones,1,11.99,11.99,08/29/19,23,29,8,2019,Thu,363 2nd St,Boston,MA,2215,PM
236876,Google Phone,1,600.0,600.0,08/14/19,20,14,8,2019,Wed,646 14th St,Boston,MA,2215,PM
236909,AAA Batteries (4-pack),4,2.99,11.96,08/01/19,9,1,8,2019,Thu,912 Wilson St,Boston,MA,2215,AM
236913,AAA Batteries (4-pack),1,2.99,2.99,08/13/19,22,13,8,2019,Tue,712 South St,Boston,MA,2215,PM
236937,Vareebadd Phone,1,400.0,400.0,08/06/19,18,6,8,2019,Tue,231 Washington St,Boston,MA,2215,PM
236939,USB-C Charging Cable,1,11.95,11.95,08/28/19,23,28,8,2019,Wed,608 Willow St,Boston,MA,2215,PM
236940,Wired Headphones,1,11.99,11.99,08/03/19,19,3,8,2019,Sat,976 Forest St,Boston,MA,2215,PM
236944,Bose SoundSport Headphones,1,99.99,99.99,08/25/19,19,25,8,2019,Sun,139 Cedar St,Boston,MA,2215,PM
