order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236728,ThinkPad Laptop,1,999.99,999.99,08/10/19,11,10,8,2019,Sat,526 North St,Portland,ME,4101,AM
236751,27in 4K Gaming Monitor,1,389.99,389.99,08/03/19,9,3,8,2019,Sat,534 Washington St,Portland,ME,4101,AM
236815,27in FHD Monitor,1,149.99,149.99,08/28/19,17,28,8,2019,Wed,378 Adams St,Portland,ME,4101,PM
236866,AA Batteries (4-pack),1,3.84,3.84,08/19/19,19,19,8,2019,Mon,583 Spruce St,Portland,ME,4101,PM
236891,Flatscreen TV,1,300.0,300.0,08/07/19,13,7,8,2019,Wed,385 4th St,Portland,ME,4101,PM
236900,Bose SoundSport Headphones,1,99.99,99.99,08/26/19,18,26,8,2019,Mon,405 Ridge St,Portland,ME,4101,PM
236966,Wired Headphones,1,11.99,11.99,08/12/19,12,12,8,2019,Mon,594 Sunset St,Portland,ME,4101,AM
237250,Apple Airpods Headphones,1,150.0,150.0,08/15/19,15,15,8,2019,Thu,606 Willow St,Portland,ME,4101,PM
237344,Wired Headphones,1,11.99,11.99,08/15/19,22,15,8,2019,Thu,768 Lakeview St,Portland,ME,4101,PM
237348,AA Batteries (4-pack),1,3.84,3.84,08/29/19,9,29,8,2019,Thu,782 Hickory St,Portland,ME,4101,AM
237418,Wired Headphones,1,11.99,11.99,08/07/19,14,7,8,2019,Wed,305 Spruce St,Portland,ME,4101,PM
237427,Wired Headphones,1,11.99,11.99,08/15/19,15,15,8,2019,Thu,416 Washington St,Portland,ME,4101,PM
237443,Wired Headphones,1,11.99,11.99,08/16/19,11,16,8,2019,Fri,818 Lincoln St,Portland,ME,4101,AM
237589,ThinkPad Laptop,1,999.99,999.99,08/11/19,10,11,8,2019,Sun,69 Chestnut St,Portland,ME,4101,AM
237612,USB-C Charging Cable,1,11.95,11.95,08/13/19,18,13,8,2019,Tue,790 North St,Portland,ME,4101,PM
237620,Apple Airpods Headphones,1,150.0,150.0,08/06/19,20,6,8,2019,Tue,539 Maple St,Portland,ME,4101,PM
237720,20in Monitor,1,109.99,109.99,08/07/19,11,7,8,2019,Wed,569 Main St,Portland,ME,4101,AM
237761,USB-C Charging Cable,1,11.95,11.95,08/24/19,11,24,8,2019,Sat,767 Forest St,Portland,ME,4101,AM
237806,Flatscreen TV,1,300.0,300.0,08/25/19,19,25,8,2019,Sun,175 River St,Portland,ME,4101,PM
237913,USB-C Charging Cable,1,11.95,11.95,08/31/19,22,31,8,2019,Sat,796 Highland St,Portland,ME,4101,PM
237966,Bose SoundSport Headphones,1,99.99,99.99,08/01/19,18,1,8,2019,Thu,826 14th St,Portland,ME,4101,PM
238040,Lightning Charging Cable,1,14.95,14.95,08/07/19,15,7,8,2019,Wed,148 Meadow St,Portland,ME,4101,PM
238140,USB-C Charging Cable,1,11.95,11.95,08/14/19,22,14,8,2019,Wed,225 11th St,Portland,ME,4101,PM
238148,Lightning Charging Cable,1,14.95,14.95,08/01/19,13,1,8,2019,Thu,135 Dogwood St,Portland,ME,4101,PM
238184,Wired Headphones,1,11.99,11.99,08/08/19,17,8,8,2019,Thu,800 Center St,Portland,ME,4101,PM
238224,27in FHD Monitor,1,149.99,149.99,08/28/19,22,28,8,2019,Wed,499 Walnut St,Portland,ME,4101,PM
238262,Lightning Charging Cable,1,14.95,14.95,08/11/19,17,11,8,2019,Sun,430 Adams St,Portland,ME,4101,PM
238287,Macbook Pro Laptop,1,1700.0,1700.0,08/03/19,8,3,8,2019,Sat,292 Main St,Portland,ME,4101,AM
238348,Lightning Charging Cable,1,14.95,14.95,08/30/19,18,30,8,2019,Fri,346 6th St,Portland,ME,4101,PM
238354,Lightning Charging Cable,1,14.95,14.95,08/30/19,10,30,8,2019,Fri,353 8th St,Portland,ME,4101,AM
238511,AAA Batteries (4-pack),1,2.99,2.99,08/15/19,13,15,8,2019,Thu,295 Lincoln St,Portland,ME,4101,PM
238577,34in Ultrawide Monitor,1,379.99,379.99,08/02/19,18,2,8,2019,Fri,272 Elm St,Portland,ME,4101,PM
238592,27in 4K Gaming Monitor,1,389.99,389.99,08/03/19,20,3,8,2019,Sat,220 Washington St,Portland,ME,4101,PM
238683,AA Batteries (4-pack),3,3.84,11.52,08/07/19,15,7,8,2019,Wed,224 Wilson St,Portland,ME,4101,PM
238933,Bose SoundSport Headphones,1,99.99,99.99,08/17/19,14,17,8,2019,Sat,505 North St,Portland,ME,4101,PM
238985,27in FHD Monitor,1,149.99,149.99,08/28/19,16,28,8,2019,Wed,709 West St,Portland,ME,4101,PM
238998,AA Batteries (4-pack),1,3.84,3.84,08/17/19,12,17,8,2019,Sat,236 Wilson St,Portland,ME,4101,AM
239020,USB-C Charging Cable,1,11.95,11.95,08/17/19,15,17,8,2019,Sat,705 8th St,Portland,ME,4101,PM
239222,AAA Batteries (4-pack),2,2.99,5.98,08/14/19,17,14,8,2019,Wed,632 West St,Portland,ME,4101,PM
239245,Bose SoundSport Headphones,1,99.99,99.99,08/31/19,22,31,8,2019,Sat,388 Lincoln St,Portland,ME,4101,PM
239249,AA Batteries (4-pack),1,3.84,3.84,08/12/19,14,12,8,2019,Mon,227 North St,Portland,ME,4101,PM
239260,Bose SoundSport Headphones,1,99.99,99.99,08/29/19,19,29,8,2019,Thu,948 Jackson St,Portland,ME,4101,PM
239296,USB-C Charging Cable,1,11.95,11.95,08/31/19,16,31,8,2019,Sat,418 Pine St,Portland,ME,4101,PM
239347,Wired Headphones,1,11.99,11.99,08/22/19,17,22,8,2019,Thu,34 Cedar St,Portland,ME,4101,PM
239369,Apple Airpods Headphones,1,150.0,150.0,08/09/19,17,9,8,2019,Fri,32 River St,Portland,ME,4101,PM
239513,USB-C Charging Cable,1,11.95,11.95,08/20/19,13,20,8,2019,Tue,841 Willow St,Portland,ME,4101,PM
239522,Flatscreen TV,1,300.0,300.0,08/06/19,14,6,8,2019,Tue,855 Meadow St,Portland,ME,4101,PM
239628,USB-C Charging Cable,1,11.95,11.95,08/23/19,6,23,8,2019,Fri,188 River St,Portland,ME,4101,AM
239648,27in FHD Monitor,1,149.99,149.99,08/08/19,3,8,8,2019,Thu,961 Lakeview St,Portland,ME,4101,AM
239676,27in 4K Gaming Monitor,1,389.99,389.99,08/14/19,20,14,8,2019,Wed,437 Lincoln St,Portland,ME,4101,PM
239745,AA Batteries (4-pack),2,3.84,7.68,08/06/19,19,6,8,2019,Tue,164 Wilson St,Portland,ME,4101,PM
239757,27in 4K Gaming Monitor,1,389.99,389.99,08/27/19,14,27,8,2019,Tue,19 Elm St,Portland,ME,4101,PM
239982,AA Batteries (4-pack),1,3.84,3.84,08/26/19,11,26,8,2019,Mon,371 Main St,Portland,ME,4101,AM
240089,USB-C Charging Cable,1,11.95,11.95,08/29/19,12,29,8,2019,Thu,712 Jefferson St,Portland,ME,4101,AM
240239,27in FHD Monitor,1,149.99,149.99,08/27/19,12,27,8,2019,Tue,401 Wilson St,Portland,ME,4101,AM
240340,ThinkPad Laptop,1,999.99,999.99,08/06/19,17,6,8,2019,Tue,350 Cedar St,Portland,ME,4101,PM
240343,USB-C Charging Cable,1,11.95,11.95,08/26/19,7,26,8,2019,Mon,930 2nd St,Portland,ME,4101,AM
240439,27in FHD Monitor,1,149.99,149.99,08/09/19,19,9,8,2019,Fri,800 Elm St,Portland,ME,4101,PM
240444,AA Batteries (4-pack),1,3.84,3.84,08/26/19,18,26,8,2019,Mon,236 12th St,Portland,ME,4101,PM
240468,USB-C Charging Cable,1,11.95,11.95,08/29/19,2,29,8,2019,Thu,883 South St,Portland,ME,4101,AM
240549,Bose SoundSport Headphones,1,99.99,99.99,08/06/19,11,6,8,2019,Tue,843 South St,Portland,ME,4101,AM
240642,Apple Airpods Headphones,1,150.0,150.0,08/20/19,15,20,8,2019,Tue,270 12th St,Portland,ME,4101,PM
240759,iPhone,1,700.0,700.0,08/20/19,22,20,8,2019,Tue,451 Highland St,Portland,ME,4101,PM
240806,LG Washing Machine,1,600.0,600.0,08/13/19,19,13,8,2019,Tue,979 1st St,Portland,ME,4101,PM
240812,Wired Headphones,1,11.99,11.99,08/28/19,0,28,8,2019,Wed,215 South St,Portland,ME,4101,AM
240825,Lightning Charging Cable,1,14.95,14.95,08/18/19,10,18,8,2019,Sun,946 Hill St,Portland,ME,4101,AM
240839,Wired Headphones,1,11.99,11.99,08/08/19,5,8,8,2019,Thu,29 Hickory St,Portland,ME,4101,AM
240845,USB-C Charging Cable,1,11.95,11.95,08/21/19,15,21,8,2019,Wed,541 9th St,Portland,ME,4101,PM
240845,AAA Batteries (4-pack),1,2.99,2.99,08/21/19,15,21,8,2019,Wed,541 9th St,Portland,ME,4101,PM
240849,iPhone,1,700.0,700.0,08/15/19,15,15,8,2019,Thu,780 Elm St,Portland,ME,4101,PM
240979,AAA Batteries (4-pack),1,2.99,2.99,08/14/19,10,14,8,2019,Wed,410 Highland St,Portland,ME,4101,AM
241017,ThinkPad Laptop,1,999.99,999.99,08/31/19,1,31,8,2019,Sat,884 12th St,Portland,ME,4101,AM
241045,Vareebadd Phone,1,400.0,400.0,08/25/19,11,25,8,2019,Sun,766 Elm St,Portland,ME,4101,AM
241045,USB-C Charging Cable,1,11.95,11.95,08/25/19,11,25,8,2019,Sun,766 Elm St,Portland,ME,4101,AM
241129,Wired Headphones,1,11.99,11.99,08/26/19,5,26,8,2019,Mon,599 Adams St,Portland,ME,4101,AM
241230,Lightning Charging Cable,2,14.95,29.9,08/31/19,16,31,8,2019,Sat,569 Main St,Portland,ME,4101,PM
241418,iPhone,1,700.0,700.0,08/30/19,11,30,8,2019,Fri,928 11th St,Portland,ME,4101,AM
241658,27in FHD Monitor,1,149.99,149.99,08/10/19,14,10,8,2019,Sat,103 Jackson St,Portland,ME,4101,PM
241660,AA Batteries (4-pack),3,3.84,11.52,08/08/19,9,8,8,2019,Thu,535 Hill St,Portland,ME,4101,AM
241705,ThinkPad Laptop,1,999.99,999.99,08/15/19,11,15,8,2019,Thu,76 Park St,Portland,ME,4101,AM
242155,USB-C Charging Cable,1,11.95,11.95,08/31/19,10,31,8,2019,Sat,741 Lakeview St,Portland,ME,4101,AM
242284,27in 4K Gaming Monitor,1,389.99,389.99,08/01/19,17,1,8,2019,Thu,406 Lakeview St,Portland,ME,4101,PM
242492,Lightning Charging Cable,1,14.95,14.95,08/29/19,4,29,8,2019,Thu,665 Adams St,Portland,ME,4101,AM
242567,34in Ultrawide Monitor,1,379.99,379.99,08/29/19,21,29,8,2019,Thu,810 10th St,Portland,ME,4101,PM
242576,Flatscreen TV,1,300.0,300.0,08/19/19,22,19,8,2019,Mon,383 Lake St,Portland,ME,4101,PM
242579,AAA Batteries (4-pack),1,2.99,2.99,08/17/19,13,17,8,2019,Sat,503 6th St,Portland,ME,4101,PM
242599,Wired Headphones,1,11.99,11.99,08/10/19,17,10,8,2019,Sat,590 Pine St,Portland,ME,4101,PM
242612,USB-C Charging Cable,1,11.95,11.95,08/04/19,20,4,8,2019,Sun,844 Ridge St,Portland,ME,4101,PM
242742,Apple Airpods Headphones,1,150.0,150.0,08/16/19,3,16,8,2019,Fri,955 Madison St,Portland,ME,4101,AM
242770,ThinkPad Laptop,1,999.99,999.99,08/18/19,6,18,8,2019,Sun,301 Ridge St,Portland,ME,4101,AM
242799,Apple Airpods Headphones,1,150.0,150.0,08/12/19,17,12,8,2019,Mon,625 Chestnut St,Portland,ME,4101,PM
242812,USB-C Charging Cable,1,11.95,11.95,08/25/19,20,25,8,2019,Sun,482 14th St,Portland,ME,4101,PM
