order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236674,AA Batteries (4-pack),2,3.84,7.68,08/15/19,19,15,8,2019,Thu,736 14th St,New York City,NY,10001,PM
236684,Lightning Charging Cable,1,14.95,14.95,08/09/19,16,9,8,2019,Fri,669 12th St,New York City,NY,10001,PM
236687,USB-C Charging Cable,1,11.95,11.95,08/23/19,12,23,8,2019,Fri,668 Meadow St,New York City,NY,10001,AM
236694,Apple Airpods Headphones,1,150.0,150.0,08/14/19,23,14,8,2019,Wed,854 Sunset St,New York City,NY,10001,PM
236696,Lightning Charging Cable,1,14.95,14.95,08/21/19,0,21,8,2019,Wed,530 Church St,New York City,NY,10001,AM
236723,Apple Airpods Headphones,1,150.0,150.0,08/01/19,18,1,8,2019,Thu,654 Pine St,New York City,NY,10001,PM
236727,USB-C Charging Cable,1,11.95,11.95,08/19/19,8,19,8,2019,Mon,557 North St,New York City,NY,10001,AM
236730,Google Phone,1,600.0,600.0,08/02/19,10,2,8,2019,Fri,445 Lincoln St,New York City,NY,10001,AM
236730,Wired Headphones,1,11.99,11.99,08/02/19,10,2,8,2019,Fri,445 Lincoln St,New York City,NY,10001,AM
236738,Flatscreen TV,1,300.0,300.0,08/30/19,15,30,8,2019,Fri,672 7th St,New York City,NY,10001,PM
236747,AAA Batteries (4-pack),1,2.99,2.99,08/02/19,15,2,8,2019,Fri,255 Cherry St,New York City,NY,10001,PM
236748,Bose SoundSport Headphones,1,99.99,99.99,08/19/19,16,19,8,2019,Mon,977 13th St,New York City,NY,10001,PM
236753,Lightning Charging Cable,1,14.95,14.95,08/18/19,19,18,8,2019,Sun,501 Lakeview St,New York City,NY,10001,PM
236759,Bose SoundSport Headphones,1,99.99,99.99,08/27/19,12,27,8,2019,Tue,848 5th St,New York City,NY,10001,AM
236775,AAA Batteries (4-pack),2,2.99,5.98,08/06/19,8,6,8,2019,Tue,3 Dogwood St,New York City,NY,10001,AM
236776,Bose SoundSport Headphones,1,99.99,99.99,08/25/19,2,25,8,2019,Sun,729 Washington St,New York City,NY,10001,AM
236777,Lightning Charging Cable,1,14.95,14.95,08/29/19,13,29,8,2019,Thu,61 Park St,New York City,NY,10001,PM
236792,Wired Headphones,1,11.99,11.99,08/22/19,14,22,8,2019,Thu,326 Johnson St,New York City,NY,10001,PM
236805,USB-C Charging Cable,1,11.95,11.95,08/23/19,16,23,8,2019,Fri,445 10th St,New York City,NY,10001,PM
236808,AA Batteries (4-pack),1,3.84,3.84,08/24/19,8,24,8,2019,Sat,782 12th St,New York City,NY,10001,AM
236816,USB-C Charging Cable,1,11.95,11.95,08/13/19,20,13,8,2019,Tue,179 Jackson St,New York City,NY,10001,PM
236824,Wired Headphones,1,11.99,11.99,08/24/19,6,24,8,2019,Sat,323 11th St,New York City,NY,10001,AM
236833,Wired Headphones,1,11.99,11.99,08/06/19,9,6,8,2019,Tue,848 7th St,New York City,NY,10001,AM
236843,AAA Batteries (4-pack),1,2.99,2.99,08/25/19,12,25,8,2019,Sun,821 Lakeview St,New York City,NY,10001,AM
236848,Wired Headphones,1,11.99,11.99,08/27/19,18,27,8,2019,Tue,56 5th St,New York City,NY,10001,PM
236850,Google Phone,1,600.0,600.0,08/31/19,0,31,8,2019,Sat,543 Ridge St,New York City,NY,10001,AM
236851,27in 4K Gaming Monitor,1,389.99,389.99,08/29/19,0,29,8,2019,Thu,192 13th St,New York City,NY,10001,AM
236863,Wired Headphones,1,11.99,11.99,08/02/19,21,2,8,2019,Fri,674 Walnut St,New York City,NY,10001,PM
236870,Google Phone,1,600.0,600.0,08/09/19,20,9,8,2019,Fri,384 5th St,New York City,NY,10001,PM
236875,USB-C Charging Cable,1,11.95,11.95,08/13/19,9,13,8,2019,Tue,342 11th St,New York City,NY,10001,AM
236878,ThinkPad Laptop,1,999.99,999.99,08/08/19,7,8,8,2019,Thu,35 Lincoln St,New York City,NY,10001,AM
236881,AAA Batteries (4-pack),1,2.99,2.99,08/05/19,22,5,8,2019,Mon,342 Lake St,New York City,NY,10001,PM
236882,Macbook Pro Laptop,1,1700.0,1700.0,08/09/19,14,9,8,2019,Fri,109 9th St,New York City,NY,10001,PM
236888,Macbook Pro Laptop,1,1700.0,1700.0,08/01/19,16,1,8,2019,Thu,887 Meadow St,New York City,NY,10001,PM
236910,USB-C Charging Cable,1,11.95,11.95,08/17/19,3,17,8,2019,Sat,744 5th St,New York City,NY,10001,AM
236920,Wired Headphones,1,11.99,11.99,08/10/19,11,10,8,2019,Sat,673 1st St,New York City,NY,10001,AM
236922,Wired Headphones,1,11.99,11.99,08/12/19,9,12,8,2019,Mon,346 Wilson St,New York City,NY,10001,AM
236926,AA Batteries (4-pack),1,3.84,3.84,08/25/19,21,25,8,2019,Sun,182 Pine St,New York City,NY,10001,PM
236930,ThinkPad Laptop,1,999.99,999.99,08/04/19,7,4,8,2019,Sun,894 Jackson St,New York City,NY,10001,AM
236931,Apple Airpods Headphones,1,150.0,150.0,08/25/19,8,25,8,2019,Sun,57 2nd St,New York City,NY,10001,AM
236935,Apple Airpods Headphones,1,150.0,150.0,08/16/19,17,16,8,2019,Fri,972 11th St,New York City,NY,10001,PM
236980,34in Ultrawide Monitor,1,379.99,379.99,08/26/19,19,26,8,2019,Mon,867 Jefferson St,New York City,NY,10001,PM
236981,iPhone,1,700.0,700.0,08/05/19,11,5,8,2019,Mon,499 River St,New York City,NY,10001,AM
236992,Google Phone,1,600.0,600.0,08/20/19,10,20,8,2019,Tue,544 Lakeview St,New York City,NY,10001,AM
236992,USB-C Charging Cable,1,11.95,11.95,08/20/19,10,20,8,2019,Tue,544 Lakeview St,New York City,NY,10001,AM
236999,Wired Headphones,1,11.99,11.99,08/02/19,20,2,8,2019,Fri,745 Main St,New York City,NY,10001,PM
237008,iPhone,1,700.0,700.0,08/03/19,9,3,8,2019,Sat,407 9th St,New York City,NY,10001,AM
237014,Lightning Charging Cable,1,14.95,14.95,08/30/19,12,30,8,2019,Fri,748 14th St,New York City,NY,10001,AM
237015,USB-C Charging Cable,1,11.95,11.95,08/17/19,14,17,8,2019,Sat,808 9th St,New York City,NY,10001,PM
237016,34in Ultrawide Monitor,1,379.99,379.99,08/21/19,7,21,8,2019,Wed,696 Cedar St,New York City,NY,10001,AM
237021,AAA Batteries (4-pack),1,2.99,2.99,08/03/19,12,3,8,2019,Sat,492 Jackson St,New York City,NY,10001,AM
237027,Apple Airpods Headphones,1,150.0,150.0,08/09/19,19,9,8,2019,Fri,232 Jackson St,New York City,NY,10001,PM
237032,27in 4K Gaming Monitor,1,389.99,389.99,08/05/19,7,5,8,2019,Mon,409 1st St,New York City,NY,10001,AM
237034,Apple Airpods Headphones,1,150.0,150.0,08/11/19,7,11,8,2019,Sun,18 Ridge St,New York City,NY,10001,AM
237036,27in FHD Monitor,1,149.99,149.99,08/06/19,13,6,8,2019,Tue,790 Wilson St,New York City,NY,10001,PM
237059,AA Batteries (4-pack),1,3.84,3.84,08/19/19,17,19,8,2019,Mon,639 Jackson St,New York City,NY,10001,PM
237062,Bose SoundSport Headphones,1,99.99,99.99,08/05/19,15,5,8,2019,Mon,531 Highland St,New York City,NY,10001,PM
237063,LG Dryer,1,600.0,600.0,08/06/19,10,6,8,2019,Tue,303 Lake St,New York City,NY,10001,AM
237063,AA Batteries (4-pack),1,3.84,3.84,08/06/19,10,6,8,2019,Tue,303 Lake St,New York City,NY,10001,AM
237068,Lightning Charging Cable,1,14.95,14.95,08/01/19,11,1,8,2019,Thu,271 South St,New York City,NY,10001,AM
237072,Bose SoundSport Headphones,1,99.99,99.99,08/16/19,6,16,8,2019,Fri,615 Maple St,New York City,NY,10001,AM
237090,Apple Airpods Headphones,1,150.0,150.0,08/29/19,21,29,8,2019,Thu,809 5th St,New York City,NY,10001,PM
237091,Lightning Charging Cable,1,14.95,14.95,08/31/19,10,31,8,2019,Sat,379 12th St,New York City,NY,10001,AM
237094,AAA Batteries (4-pack),2,2.99,5.98,08/06/19,10,6,8,2019,Tue,552 River St,New York City,NY,10001,AM
237100,AA Batteries (4-pack),1,3.84,3.84,08/12/19,15,12,8,2019,Mon,456 Madison St,New York City,NY,10001,PM
237114,USB-C Charging Cable,1,11.95,11.95,08/05/19,16,5,8,2019,Mon,456 6th St,New York City,NY,10001,PM
237115,Apple Airpods Headphones,1,150.0,150.0,08/27/19,11,27,8,2019,Tue,431 Cedar St,New York City,NY,10001,AM
237119,Wired Headphones,1,11.99,11.99,08/13/19,15,13,8,2019,Tue,774 Johnson St,New York City,NY,10001,PM
237135,Bose SoundSport Headphones,1,99.99,99.99,08/18/19,9,18,8,2019,Sun,295 10th St,New York City,NY,10001,AM
237137,AA Batteries (4-pack),1,3.84,3.84,08/17/19,15,17,8,2019,Sat,874 12th St,New York City,NY,10001,PM
237159,Lightning Charging Cable,1,14.95,14.95,08/28/19,21,28,8,2019,Wed,322 Walnut St,New York City,NY,10001,PM
237160,USB-C Charging Cable,1,11.95,11.95,08/04/19,16,4,8,2019,Sun,139 8th St,New York City,NY,10001,PM
237161,AA Batteries (4-pack),1,3.84,3.84,08/18/19,21,18,8,2019,Sun,249 Church St,New York City,NY,10001,PM
237162,AAA Batteries (4-pack),1,2.99,2.99,08/30/19,12,30,8,2019,Fri,179 Lakeview St,New York City,NY,10001,AM
237164,USB-C Charging Cable,1,11.95,11.95,08/01/19,14,1,8,2019,Thu,388 1st St,New York City,NY,10001,PM
237179,Bose SoundSport Headphones,1,99.99,99.99,08/18/19,18,18,8,2019,Sun,1 Wilson St,New York City,NY,10001,PM
237185,34in Ultrawide Monitor,1,379.99,379.99,08/25/19,14,25,8,2019,Sun,744 Hickory St,New York City,NY,10001,PM
237198,Wired Headphones,1,11.99,11.99,08/12/19,14,12,8,2019,Mon,691 Church St,New York City,NY,10001,PM
237201,AAA Batteries (4-pack),1,2.99,2.99,08/02/19,16,2,8,2019,Fri,232 12th St,New York City,NY,10001,PM
237202,Bose SoundSport Headphones,1,99.99,99.99,08/08/19,10,8,8,2019,Thu,12 Cedar St,New York City,NY,10001,AM
237221,AA Batteries (4-pack),2,3.84,7.68,08/10/19,9,10,8,2019,Sat,536 Hill St,New York City,NY,10001,AM
237224,Apple Airpods Headphones,1,150.0,150.0,08/18/19,13,18,8,2019,Sun,774 11th St,New York City,NY,10001,PM
237246,Lightning Charging Cable,1,14.95,14.95,08/06/19,16,6,8,2019,Tue,137 Ridge St,New York City,NY,10001,PM
237248,AAA Batteries (4-pack),1,2.99,2.99,08/28/19,19,28,8,2019,Wed,319 Lake St,New York City,NY,10001,PM
237251,iPhone,1,700.0,700.0,08/30/19,11,30,8,2019,Fri,542 River St,New York City,NY,10001,AM
237251,Wired Headphones,1,11.99,11.99,08/30/19,11,30,8,2019,Fri,542 River St,New York City,NY,10001,AM
237252,Lightning Charging Cable,1,14.95,14.95,08/19/19,10,19,8,2019,Mon,199 Forest St,New York City,NY,10001,AM
237253,USB-C Charging Cable,1,11.95,11.95,08/02/19,10,2,8,2019,Fri,351 Walnut St,New York City,NY,10001,AM
237255,USB-C Charging Cable,1,11.95,11.95,08/26/19,15,26,8,2019,Mon,540 Main St,New York City,NY,10001,PM
237267,iPhone,1,700.0,700.0,08/17/19,17,17,8,2019,Sat,368 Wilson St,New York City,NY,10001,PM
237267,Wired Headphones,1,11.99,11.99,08/17/19,17,17,8,2019,Sat,368 Wilson St,New York City,NY,10001,PM
237277,Lightning Charging Cable,1,14.95,14.95,08/02/19,21,2,8,2019,Fri,11 Ridge St,New York City,NY,10001,PM
237300,Wired Headphones,1,11.99,11.99,08/10/19,11,10,8,2019,Sat,247 Madison St,New York City,NY,10001,AM
237302,Wired Headphones,1,11.99,11.99,08/07/19,12,7,8,2019,Wed,215 Sunset St,New York City,NY,10001,AM
237307,Wired Headphones,1,11.99,11.99,08/06/19,23,6,8,2019,Tue,2 Hill St,New York City,NY,10001,PM
237327,34in Ultrawide Monitor,1,379.99,379.99,08/14/19,14,14,8,2019,Wed,245 Maple St,New York City,NY,10001,PM
237335,Apple Airpods Headphones,1,150.0,150.0,08/10/19,21,10,8,2019,Sat,306 Madison St,New York City,NY,10001,PM
237337,Wired Headphones,1,11.99,11.99,08/22/19,22,22,8,2019,Thu,858 Meadow St,New York City,NY,10001,PM
237340,Lightning Charging Cable,1,14.95,14.95,08/07/19,8,7,8,2019,Wed,613 Pine St,New York City,NY,10001,AM
237371,Lightning Charging Cable,1,14.95,14.95,08/22/19,23,22,8,2019,Thu,791 Madison St,New York City,NY,10001,PM
237372,Wired Headphones,1,11.99,11.99,08/09/19,15,9,8,2019,Fri,760 West St,New York City,NY,10001,PM
237381,USB-C Charging Cable,1,11.95,11.95,08/11/19,21,11,8,2019,Sun,466 1st St,New York City,NY,10001,PM
237387,Macbook Pro Laptop,1,1700.0,1700.0,08/10/19,11,10,8,2019,Sat,320 Center St,New York City,NY,10001,AM
237389,AA Batteries (4-pack),1,3.84,3.84,08/01/19,13,1,8,2019,Thu,263 13th St,New York City,NY,10001,PM
237400,Flatscreen TV,1,300.0,300.0,08/31/19,15,31,8,2019,Sat,588 Jefferson St,New York City,NY,10001,PM
237406,Wired Headphones,1,11.99,11.99,08/25/19,16,25,8,2019,Sun,155 Lincoln St,New York City,NY,10001,PM
237407,AAA Batteries (4-pack),1,2.99,2.99,08/24/19,23,24,8,2019,Sat,605 Elm St,New York City,NY,10001,PM
237422,LG Dryer,1,600.0,600.0,08/04/19,18,4,8,2019,Sun,306 West St,New York City,NY,10001,PM
237430,27in 4K Gaming Monitor,1,389.99,389.99,08/03/19,9,3,8,2019,Sat,384 Johnson St,New York City,NY,10001,AM
237430,Lightning Charging Cable,1,14.95,14.95,08/03/19,9,3,8,2019,Sat,384 Johnson St,New York City,NY,10001,AM
237447,Lightning Charging Cable,1,14.95,14.95,08/27/19,16,27,8,2019,Tue,286 Sunset St,New York City,NY,10001,PM
237450,27in 4K Gaming Monitor,1,389.99,389.99,08/13/19,6,13,8,2019,Tue,99 Spruce St,New York City,NY,10001,AM
237454,27in 4K Gaming Monitor,1,389.99,389.99,08/28/19,9,28,8,2019,Wed,13 Main St,New York City,NY,10001,AM
237455,AA Batteries (4-pack),1,3.84,3.84,08/28/19,18,28,8,2019,Wed,159 1st St,New York City,NY,10001,PM
237456,USB-C Charging Cable,1,11.95,11.95,08/06/19,10,6,8,2019,Tue,772 Hickory St,New York City,NY,10001,AM
237480,Lightning Charging Cable,3,14.95,44.85,08/08/19,6,8,8,2019,Thu,124 8th St,New York City,NY,10001,AM
237481,AAA Batteries (4-pack),1,2.99,2.99,08/17/19,21,17,8,2019,Sat,561 13th St,New York City,NY,10001,PM
237488,AAA Batteries (4-pack),1,2.99,2.99,08/03/19,12,3,8,2019,Sat,94 Adams St,New York City,NY,10001,AM
237489,27in FHD Monitor,1,149.99,149.99,08/13/19,18,13,8,2019,Tue,834 5th St,New York City,NY,10001,PM
237493,AA Batteries (4-pack),1,3.84,3.84,08/20/19,1,20,8,2019,Tue,997 River St,New York City,NY,10001,AM
237499,Lightning Charging Cable,1,14.95,14.95,08/29/19,16,29,8,2019,Thu,70 Hickory St,New York City,NY,10001,PM
237510,Lightning Charging Cable,1,14.95,14.95,08/05/19,14,5,8,2019,Mon,596 Spruce St,New York City,NY,10001,PM
237511,27in FHD Monitor,1,149.99,149.99,08/21/19,15,21,8,2019,Wed,336 6th St,New York City,NY,10001,PM
237515,Google Phone,1,600.0,600.0,08/17/19,14,17,8,2019,Sat,539 Lake St,New York City,NY,10001,PM
237522,AAA Batteries (4-pack),1,2.99,2.99,08/14/19,20,14,8,2019,Wed,919 9th St,New York City,NY,10001,PM
237525,Flatscreen TV,1,300.0,300.0,08/05/19,16,5,8,2019,Mon,251 Lakeview St,New York City,NY,10001,PM
237536,Bose SoundSport Headphones,1,99.99,99.99,08/11/19,17,11,8,2019,Sun,83 Church St,New York City,NY,10001,PM
237548,AA Batteries (4-pack),1,3.84,3.84,08/28/19,18,28,8,2019,Wed,851 Spruce St,New York City,NY,10001,PM
237556,iPhone,1,700.0,700.0,08/23/19,19,23,8,2019,Fri,503 Washington St,New York City,NY,10001,PM
237556,Lightning Charging Cable,1,14.95,14.95,08/23/19,19,23,8,2019,Fri,503 Washington St,New York City,NY,10001,PM
237559,27in 4K Gaming Monitor,1,389.99,389.99,08/15/19,22,15,8,2019,Thu,73 9th St,New York City,NY,10001,PM
237565,USB-C Charging Cable,1,11.95,11.95,08/02/19,22,2,8,2019,Fri,27 4th St,New York City,NY,10001,PM
237570,Macbook Pro Laptop,1,1700.0,1700.0,08/03/19,9,3,8,2019,Sat,495 12th St,New York City,NY,10001,AM
237595,Apple Airpods Headphones,1,150.0,150.0,08/26/19,21,26,8,2019,Mon,558 Spruce St,New York City,NY,10001,PM
237604,27in FHD Monitor,1,149.99,149.99,08/22/19,0,22,8,2019,Thu,514 Johnson St,New York City,NY,10001,AM
237609,Apple Airpods Headphones,1,150.0,150.0,08/03/19,21,3,8,2019,Sat,747 Hill St,New York City,NY,10001,PM
237610,34in Ultrawide Monitor,1,379.99,379.99,08/20/19,16,20,8,2019,Tue,289 Lakeview St,New York City,NY,10001,PM
237624,20in Monitor,1,109.99,109.99,08/02/19,18,2,8,2019,Fri,670 Wilson St,New York City,NY,10001,PM
237630,Flatscreen TV,1,300.0,300.0,08/23/19,14,23,8,2019,Fri,148 12th St,New York City,NY,10001,PM
237637,Wired Headphones,1,11.99,11.99,08/17/19,22,17,8,2019,Sat,307 8th St,New York City,NY,10001,PM
237640,AA Batteries (4-pack),1,3.84,3.84,08/12/19,4,12,8,2019,Mon,984 Lincoln St,New York City,NY,10001,AM
237649,Macbook Pro Laptop,1,1700.0,1700.0,08/03/19,20,3,8,2019,Sat,664 Church St,New York City,NY,10001,PM
237651,Lightning Charging Cable,1,14.95,14.95,08/08/19,14,8,8,2019,Thu,109 Center St,New York City,NY,10001,PM
237661,Lightning Charging Cable,1,14.95,14.95,08/27/19,16,27,8,2019,Tue,668 Cherry St,New York City,NY,10001,PM
237662,AA Batteries (4-pack),1,3.84,3.84,08/23/19,17,23,8,2019,Fri,650 1st St,New York City,NY,10001,PM
237664,AA Batteries (4-pack),1,3.84,3.84,08/26/19,12,26,8,2019,Mon,510 Meadow St,New York City,NY,10001,AM
237671,Flatscreen TV,1,300.0,300.0,08/07/19,15,7,8,2019,Wed,700 Lincoln St,New York City,NY,10001,PM
237672,Google Phone,1,600.0,600.0,08/09/19,16,9,8,2019,Fri,909 Willow St,New York City,NY,10001,PM
237673,USB-C Charging Cable,1,11.95,11.95,08/25/19,11,25,8,2019,Sun,343 Adams St,New York City,NY,10001,AM
237676,Lightning Charging Cable,1,14.95,14.95,08/10/19,4,10,8,2019,Sat,97 Washington St,New York City,NY,10001,AM
237679,iPhone,1,700.0,700.0,08/30/19,0,30,8,2019,Fri,621 Johnson St,New York City,NY,10001,AM
237679,Lightning Charging Cable,2,14.95,29.9,08/30/19,0,30,8,2019,Fri,621 Johnson St,New York City,NY,10001,AM
237693,34in Ultrawide Monitor,1,379.99,379.99,08/24/19,21,24,8,2019,Sat,603 Spruce St,New York City,NY,10001,PM
237696,Bose SoundSport Headphones,1,99.99,99.99,08/19/19,15,19,8,2019,Mon,380 Hill St,New York City,NY,10001,PM
237700,AA Batteries (4-pack),1,3.84,3.84,08/12/19,19,12,8,2019,Mon,325 North St,New York City,NY,10001,PM
237703,27in FHD Monitor,1,149.99,149.99,08/11/19,14,11,8,2019,Sun,160 11th St,New York City,NY,10001,PM
237706,ThinkPad Laptop,1,999.99,999.99,08/16/19,10,16,8,2019,Fri,766 Elm St,New York City,NY,10001,AM
237719,Bose SoundSport Headphones,1,99.99,99.99,08/30/19,20,30,8,2019,Fri,256 8th St,New York City,NY,10001,PM
237731,Lightning Charging Cable,1,14.95,14.95,08/16/19,10,16,8,2019,Fri,540 2nd St,New York City,NY,10001,AM
237733,Flatscreen TV,1,300.0,300.0,08/03/19,20,3,8,2019,Sat,986 Wilson St,New York City,NY,10001,PM
237733,Macbook Pro Laptop,1,1700.0,1700.0,08/03/19,20,3,8,2019,Sat,986 Wilson St,New York City,NY,10001,PM
237737,Bose SoundSport Headphones,1,99.99,99.99,08/26/19,15,26,8,2019,Mon,825 Church St,New York City,NY,10001,PM
237743,AAA Batteries (4-pack),1,2.99,2.99,08/30/19,22,30,8,2019,Fri,112 13th St,New York City,NY,10001,PM
237744,Wired Headphones,1,11.99,11.99,08/22/19,11,22,8,2019,Thu,955 River St,New York City,NY,10001,AM
237746,34in Ultrawide Monitor,1,379.99,379.99,08/09/19,13,9,8,2019,Fri,718 Johnson St,New York City,NY,10001,PM
237762,USB-C Charging Cable,1,11.95,11.95,08/05/19,9,5,8,2019,Mon,704 10th St,New York City,NY,10001,AM
237771,AA Batteries (4-pack),2,3.84,7.68,08/11/19,20,11,8,2019,Sun,644 Main St,New York City,NY,10001,PM
237778,Wired Headphones,1,11.99,11.99,08/08/19,8,8,8,2019,Thu,721 7th St,New York City,NY,10001,AM
237782,Lightning Charging Cable,1,14.95,14.95,08/10/19,15,10,8,2019,Sat,759 11th St,New York City,NY,10001,PM
237785,Bose SoundSport Headphones,1,99.99,99.99,08/29/19,11,29,8,2019,Thu,866 Wilson St,New York City,NY,10001,AM
237787,Bose SoundSport Headphones,1,99.99,99.99,08/23/19,17,23,8,2019,Fri,882 Dogwood St,New York City,NY,10001,PM
237800,AA Batteries (4-pack),2,3.84,7.68,08/05/19,23,5,8,2019,Mon,270 South St,New York City,NY,10001,PM
237839,iPhone,1,700.0,700.0,08/13/19,12,13,8,2019,Tue,445 8th St,New York City,NY,10001,AM
237847,Bose SoundSport Headphones,1,99.99,99.99,08/19/19,19,19,8,2019,Mon,329 Highland St,New York City,NY,10001,PM
237852,iPhone,1,700.0,700.0,08/01/19,21,1,8,2019,Thu,563 Johnson St,New York City,NY,10001,PM
