order_id,product,quantity,price,total,full_date,hour,date,month,year,day,address,city,state,pincode,timezone
236672,iPhone,1,700.0,700.0,08/06/19,14,6,8,2019,Tue,149 7th St,Portland,OR,97035,PM
236682,AA Batteries (4-pack),1,3.84,3.84,08/19/19,12,19,8,2019,Mon,118 Johnson St,Portland,OR,97035,AM
236693,27in 4K Gaming Monitor,1,389.99,389.99,08/12/19,21,12,8,2019,Mon,173 West St,Portland,OR,97035,PM
236715,27in 4K Gaming Monitor,1,389.99,389.99,08/23/19,11,23,8,2019,Fri,628 Jefferson St,Portland,OR,97035,AM
236768,AA Batteries (4-pack),2,3.84,7.68,08/27/19,10,27,8,2019,Tue,352 1st St,Portland,OR,97035,AM
236772,Apple Airpods Headphones,1,150.0,150.0,08/18/19,5,18,8,2019,Sun,61 Park St,Portland,OR,97035,AM
236842,USB-C Charging Cable,1,11.95,11.95,08/06/19,19,6,8,2019,Tue,659 Madison St,Portland,OR,97035,PM
236847,AA Batteries (4-pack),3,3.84,11.52,08/29/19,9,29,8,2019,Thu,490 Maple St,Portland,OR,97035,AM
236852,Wired Headphones,1,11.99,11.99,08/20/19,10,20,8,2019,Tue,235 Cherry St,Portland,OR,97035,AM
236864,Apple Airpods Headphones,1,150.0,150.0,08/23/19,12,23,8,2019,Fri,166 Park St,Portland,OR,97035,AM
236869,Bose SoundSport Headphones,1,99.99,99.99,08/30/19,19,30,8,2019,Fri,436 Main St,Portland,OR,97035,PM
236884,AAA Batteries (4-pack),1,2.99,2.99,08/13/19,5,13,8,2019,Tue,424 Meadow St,Portland,OR,97035,AM
236885,27in 4K Gaming Monitor,1,389.99,389.99,08/15/19,12,15,8,2019,Thu,835 Cedar St,Portland,OR,97035,AM
236885,USB-C Charging Cable,1,11.95,11.95,08/15/19,12,15,8,2019,Thu,835 Cedar St,Portland,OR,97035,AM
236914,AAA Batteries (4-pack),1,2.99,2.99,08/23/19,11,23,8,2019,Fri,87 Adams St,Portland,OR,97035,AM
236917,ThinkPad Laptop,1,999.99,999.99,08/24/19,13,24,8,2019,Sat,847 Highland St,Portland,OR,97035,PM
236945,Google Phone,1,600.0,600.0,08/30/19,10,30,8,2019,Fri,904 Jefferson St,Portland,OR,97035,AM
236961,27in 4K Gaming Monitor,1,389.99,389.99,08/25/19,12,25,8,2019,Sun,615 Meadow St,Portland,OR,97035,AM
236977,AAA Batteries (4-pack),1,2.99,2.99,08/13/19,1,13,8,2019,Tue,115 West St,Portland,OR,97035,AM
236988,USB-C Charging Cable,1,11.95,11.95,08/12/19,13,12,8,2019,Mon,345 1st St,Portland,OR,97035,PM
236989,20in Monitor,1,109.99,109.99,08/06/19,19,6,8,2019,Tue,412 Meadow St,Portland,OR,97035,PM
237007,Bose SoundSport Headphones,1,99.99,99.99,08/26/19,8,26,8,2019,Mon,792 Dogwood St,Portland,OR,97035,AM
237038,Wired Headphones,1,11.99,11.99,08/25/19,19,25,8,2019,Sun,655 Jackson St,Portland,OR,97035,PM
237044,AAA Batteries (4-pack),1,2.99,2.99,08/05/19,19,5,8,2019,Mon,326 River St,Portland,OR,97035,PM
237051,AAA Batteries (4-pack),1,2.99,2.99,08/06/19,0,6,8,2019,Tue,403 Jackson St,Portland,OR,97035,AM
237053,Lightning Charging Cable,1,14.95,14.95,08/28/19,15,28,8,2019,Wed,891 River St,Portland,OR,97035,PM
237071,27in FHD Monitor,1,149.99,149.99,08/10/19,21,10,8,2019,Sat,890 Johnson St,Portland,OR,97035,PM
237083,Wired Headphones,1,11.99,11.99,08/07/19,21,7,8,2019,Wed,610 Washington St,Portland,OR,97035,PM
237093,AAA Batteries (4-pack),2,2.99,5.98,08/01/19,12,1,8,2019,Thu,771 Cedar St,Portland,OR,97035,AM
237098,Apple Airpods Headphones,1,150.0,150.0,08/14/19,11,14,8,2019,Wed,925 Cedar St,Portland,OR,97035,AM
237131,USB-C Charging Cable,1,11.95,11.95,08/11/19,22,11,8,2019,Sun,492 Ridge St,Portland,OR,97035,PM
237145,34in Ultrawide Monitor,1,379.99,379.99,08/09/19,10,9,8,2019,Fri,541 Cedar St,Portland,OR,97035,AM
237155,Bose SoundSport Headphones,1,99.99,99.99,08/14/19,20,14,8,2019,Wed,123 Willow St,Portland,OR,97035,PM
237170,Bose SoundSport Headphones,1,99.99,99.99,08/22/19,12,22,8,2019,Thu,422 Spruce St,Portland,OR,97035,AM
237172,iPhone,1,700.0,700.0,08/31/19,20,31,8,2019,Sat,265 Hickory St,Portland,OR,97035,PM
237180,USB-C Charging Cable,1,11.95,11.95,08/23/19,3,23,8,2019,Fri,888 West St,Portland,OR,97035,AM
237203,Macbook Pro Laptop,1,1700.0,1700.0,08/12/19,10,12,8,2019,Mon,282 Wilson St,Portland,OR,97035,AM
237220,Lightning Charging Cable,1,14.95,14.95,08/04/19,9,4,8,2019,Sun,710 10th St,Portland,OR,97035,AM
237226,Bose SoundSport Headphones,1,99.99,99.99,08/23/19,11,23,8,2019,Fri,314 Highland St,Portland,OR,97035,AM
237229,Lightning Charging Cable,1,14.95,14.95,08/29/19,12,29,8,2019,Thu,629 Cherry St,Portland,OR,97035,AM
237270,AA Batteries (4-pack),2,3.84,7.68,08/12/19,10,12,8,2019,Mon,194 Pine St,Portland,OR,97035,AM
237310,Wired Headphones,1,11.99,11.99,08/24/19,2,24,8,2019,Sat,601 Chestnut St,Portland,OR,97035,AM
237311,USB-C Charging Cable,1,11.95,11.95,08/09/19,21,9,8,2019,Fri,423 Walnut St,Portland,OR,97035,PM
237320,Google Phone,1,600.0,600.0,08/27/19,12,27,8,2019,Tue,281 South St,Portland,OR,97035,AM
237350,Bose SoundSport Headphones,1,99.99,99.99,08/14/19,18,14,8,2019,Wed,24 8th St,Portland,OR,97035,PM
237355,AAA Batteries (4-pack),1,2.99,2.99,08/09/19,10,9,8,2019,Fri,285 Lakeview St,Portland,OR,97035,AM
237361,USB-C Charging Cable,1,11.95,11.95,08/27/19,15,27,8,2019,Tue,352 Sunset St,Portland,OR,97035,PM
